Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Shreyas Iyer,"2,00,00,000","26,75,00,000",Capped,
2,Yuzvendra Chahal,"2,00,00,000","18,00,00,000",Capped,
3,Arshdeep Singh,"2,00,00,000","18,00,00,000",Capped,
4,Marcus Stoinis,"2,00,00,000","11,00,00,000",Capped,
5,Marco Jansen,"1,25,00,000","7,00,00,000",Capped,
6,Nehal Wadhera,"30,00,000","4,20,00,000",Uncapped,
7,Glenn Maxwell,"2,00,00,000","4,20,00,000",Capped,
8,Priyansh Arya,"30,00,000","3,80,00,000",Uncapped,
9,Josh Inglis,"2,00,00,000","2,60,00,000",Capped,
10,Azmatullah Omarzai,"1,50,00,000","2,40,00,000",Capped,
11,Lockie Ferguson,"2,00,00,000","2,00,00,000",Capped,
12,Vyshak Vijaykumar,"30,00,000","1,80,00,000",Uncapped,
13,Yash Thakur,"30,00,000","1,60,00,000",Uncapped,
14,Harpreet  Brar,"30,00,000","1,50,00,000",Uncapped,
15,Aaron Hardie,"1,25,00,000","1,25,00,000",Capped,
16,Vishnu Vinod,"30,00,000","95,00,000",Uncapped,
17,Xavier Bartlett,"75,00,000","80,00,000",Capped,
18,Kuldeep  Sen,"75,00,000","80,00,000",Capped,
19,Pravin Dubey,"30,00,000","30,00,000",Uncapped,
20,Pyla Avinash,"30,00,000","30,00,000",Uncapped,
21,Suryansh  Shedge,"30,00,000","30,00,000",Uncapped,
22,Musheer Khan,"30,00,000","30,00,000",Uncapped,
23,Harnoor Pannu,"30,00,000","30,00,000",Uncapped,
